TreeDepth,Index,Address,Module,Symbol
0,97,0x82b011f3,ntoskrnl,NtDebugContinue
0,98,0x82a7b96f,ntoskrnl,NtDelayExecution
0,99,0x82a3f07b,ntoskrnl,NtDeleteAtom
0,100,0x82b5739b,ntoskrnl,NtDeleteBootEntry
0,101,0x82b585f3,ntoskrnl,NtDeleteDriverEntry
0,102,0x829eb6ad,ntoskrnl,NtDeleteFile
0,103,0x82a3e911,ntoskrnl,NtDeleteKey
0,104,0x82add9df,ntoskrnl,NtDeleteObjectAuditAlarm
0,105,0x82ae66f6,ntoskrnl,NtDeletePrivateNamespace
0,106,0x82a30328,ntoskrnl,NtDeleteValueKey
0,107,0x82ac63ca,ntoskrnl,NtDeviceIoControlFile
0,108,0x82b1a4da,ntoskrnl,NtDisableLastKnownGood
0,109,0x82b555ef,ntoskrnl,NtDisplayString
0,110,0x82966259,ntoskrnl,NtDrawText
0,111,0x82a844f0,ntoskrnl,NtDuplicateObject
0,112,0x82abe974,ntoskrnl,NtDuplicateToken
0,113,0x82b1a5bb,ntoskrnl,NtEnableLastKnownGood
0,114,0x82b5759d,ntoskrnl,NtEnumerateBootEntries
0,115,0x82b587f3,ntoskrnl,NtEnumerateDriverEntries
0,116,0x82ab9a59,ntoskrnl,NtEnumerateKey
0,117,0x82b5717b,ntoskrnl,NtEnumerateSystemEnvironmentValuesEx
0,118,0x82b45f4c,ntoskrnl,NtEnumerateTransactionObject
0,119,0x82abbebf,ntoskrnl,NtEnumerateValueKey
0,120,0x82b20a0f,ntoskrnl,NtExtendSection
0,121,0x82a37d81,ntoskrnl,NtFilterToken
0,122,0x82a438ff,ntoskrnl,NtFindAtom
0,123,0x82a5b117,ntoskrnl,NtFlushBuffersFile
0,124,0x829e790f,ntoskrnl,NtFlushInstallUILanguage
0,125,0x82a524c2,ntoskrnl,NtFlushInstructionCache
0,126,0x82a319cd,ntoskrnl,NtFlushKey
0,127,0x828771b1,ntoskrnl,NtFlushProcessWriteBuffers
0,128,0x82a2d130,ntoskrnl,NtFlushVirtualMemory
0,129,0x82b239b7,ntoskrnl,NtFlushWriteBuffer
0,130,0x82b23039,ntoskrnl,NtFreeUserPhysicalPages
0,131,0x8290b4db,ntoskrnl,NtFreeVirtualMemory
0,132,0x829256fc,ntoskrnl,NtFreezeRegistry
0,133,0x82b4639a,ntoskrnl,NtFreezeTransactions
0,134,0x82aa86a2,ntoskrnl,NtFsControlFile
0,135,0x82ae7dc1,ntoskrnl,NtGetContextThread
0,136,0x82ae7d56,ntoskrnl,NtGetCurrentProcessorNumber
0,137,0x82b2be37,ntoskrnl,NtGetDevicePowerState
0,138,0x82a63daf,ntoskrnl,NtGetMUIRegistryInfo
0,139,0x82b30b54,ntoskrnl,NtGetNextProcess
0,140,0x82adfc0a,ntoskrnl,NtGetNextThread
0,141,0x82a2c5c6,ntoskrnl,NtGetNlsSectionPtr
0,142,0x82b464f4,ntoskrnl,NtGetNotificationResourceManager
0,143,0x82a11e67,ntoskrnl,NtGetPlugPlayEvent
0,144,0x8293c5c7,ntoskrnl,NtGetWriteWatch
0,145,0x82a487ca,ntoskrnl,NtImpersonateAnonymousToken
0,146,0x82b1c7a1,ntoskrnl,NtImpersonateClientOfPort
0,147,0x82acc5fc,ntoskrnl,NtImpersonateThread
0,148,0x82aaef0d,ntoskrnl,NtInitializeNlsFiles
0,149,0x829eb1ca,ntoskrnl,NtInitializeRegistry
0,150,0x82ae25c3,ntoskrnl,NtInitiatePowerAction
0,151,0x82ae3cdd,ntoskrnl,NtIsProcessInJob
0,152,0x82b2be1e,ntoskrnl,NtIsSystemResumeAutomatic
0,153,0x829e5de9,ntoskrnl,NtIsUILanguageComitted
0,154,0x829e2c75,ntoskrnl,NtListenPort
0,155,0x82a18b78,ntoskrnl,NtLoadDriver
0,156,0x829e4426,ntoskrnl,NtLoadKey
0,157,0x829d1a1c,ntoskrnl,NtLoadKey2
0,158,0x829f4e72,ntoskrnl,NtLoadKeyEx
0,159,0x82a5632b,ntoskrnl,NtLockFile
0,160,0x829cb026,ntoskrnl,NtLockProductActivationKeys
0,161,0x829c66d5,ntoskrnl,NtLockRegistryKey
0,162,0x82876191,ntoskrnl,NtLockVirtualMemory
0,163,0x82a191b1,ntoskrnl,NtMakePermanentObject
0,164,0x82a5e851,ntoskrnl,NtMakeTemporaryObject
0,165,0x82a6335b,ntoskrnl,NtMapCMFModule
0,166,0x82b21b57,ntoskrnl,NtMapUserPhysicalPages
0,167,0x82b2212d,ntoskrnl,NtMapUserPhysicalPagesScatter
0,168,0x82a99394,ntoskrnl,NtMapViewOfSection
0,169,0x82b5756c,ntoskrnl,NtModifyBootEntry
0,170,0x82b587c4,ntoskrnl,NtModifyDriverEntry
0,171,0x82a48db6,ntoskrnl,NtNotifyChangeDirectoryFile
0,172,0x82a4ce17,ntoskrnl,NtNotifyChangeKey
0,173,0x82a4bf39,ntoskrnl,NtNotifyChangeMultipleKeys
0,174,0x82a12d6b,ntoskrnl,NtNotifyChangeSession
0,175,0x82a95584,ntoskrnl,NtOpenDirectoryObject
0,176,0x82b44995,ntoskrnl,NtOpenEnlistment
0,177,0x82a62b92,ntoskrnl,NtOpenEvent
0,178,0x82b5d169,ntoskrnl,NtOpenEventPair
0,179,0x82a84b10,ntoskrnl,NtOpenFile
0,180,0x82b09ca5,ntoskrnl,NtOpenIoCompletion
0,181,0x82b32057,ntoskrnl,NtOpenJobObject
0,182,0x82a9e642,ntoskrnl,NtOpenKey
0,183,0x82a62add,ntoskrnl,NtOpenKeyEx
0,184,0x82b5d49f,ntoskrnl,NtOpenKeyedEvent
0,185,0x82a22169,ntoskrnl,NtOpenKeyTransacted
0,186,0x82a220f9,ntoskrnl,NtOpenKeyTransactedEx
0,187,0x82ab40e2,ntoskrnl,NtOpenMutant
0,188,0x82a2b4b2,ntoskrnl,NtOpenObjectAuditAlarm
0,189,0x82a2cf07,ntoskrnl,NtOpenPrivateNamespace
0,190,0x82a649dc,ntoskrnl,NtOpenProcess
0,191,0x82ab6fff,ntoskrnl,NtOpenProcessToken
0,192,0x82aa4b37,ntoskrnl,NtOpenProcessTokenEx
0,193,0x829d00c7,ntoskrnl,NtOpenResourceManager
0,194,0x82abc674,ntoskrnl,NtOpenSection
0,195,0x82a380c6,ntoskrnl,NtOpenSemaphore
0,196,0x82ad9977,ntoskrnl,NtOpenSession
0,197,0x82aa0b6f,ntoskrnl,NtOpenSymbolicLinkObject
0,198,0x82ab0d87,ntoskrnl,NtOpenThread
0,199,0x82acb2e4,ntoskrnl,NtOpenThreadToken
0,200,0x82aa4c4e,ntoskrnl,NtOpenThreadTokenEx
0,201,0x82b5ce0f,ntoskrnl,NtOpenTimer
0,202,0x82b456f1,ntoskrnl,NtOpenTransaction
0,203,0x82b46989,ntoskrnl,NtOpenTransactionManager
0,204,0x82a36506,ntoskrnl,NtPlugPlayControl
0,205,0x82a93970,ntoskrnl,NtPowerInformation
0,206,0x82b452a2,ntoskrnl,NtPrepareComplete
0,207,0x82b44fc2,ntoskrnl,NtPrepareEnlistment
0,208,0x82b4535a,ntoskrnl,NtPrePrepareComplete
0,209,0x82b4507a,ntoskrnl,NtPrePrepareEnlistment
0,210,0x82a4993f,ntoskrnl,NtPrivilegeCheck
0,211,0x82a18f60,ntoskrnl,NtPrivilegedServiceAuditAlarm
0,212,0x82a33a51,ntoskrnl,NtPrivilegeObjectAuditAlarm
0,213,0x82b470e4,ntoskrnl,NtPropagationComplete
0,214,0x82b471aa,ntoskrnl,NtPropagationFailed
0,215,0x82a95403,ntoskrnl,NtProtectVirtualMemory
0,216,0x82ae65a7,ntoskrnl,NtPulseEvent
0,217,0x82aaa9a1,ntoskrnl,NtQueryAttributesFile
0,218,0x82b57a3e,ntoskrnl,NtQueryBootEntryOrder
0,219,0x82b57e83,ntoskrnl,NtQueryBootOptions
0,220,0x82915d34,ntoskrnl,NtQueryDebugFilterState
0,221,0x82ac9b8c,ntoskrnl,NtQueryDefaultLocale
0,222,0x829f5f5c,ntoskrnl,NtQueryDefaultUILanguage
0,223,0x82a86d11,ntoskrnl,NtQueryDirectoryFile
0,224,0x82aab9f0,ntoskrnl,NtQueryDirectoryObject
0,225,0x82b58381,ntoskrnl,NtQueryDriverEntryOrder
0,226,0x829e4b4a,ntoskrnl,NtQueryEaFile
0,227,0x82a4d81e,ntoskrnl,NtQueryEvent
0,228,0x82ad35d5,ntoskrnl,NtQueryFullAttributesFile
0,229,0x82a3f24c,ntoskrnl,NtQueryInformationAtom
0,230,0x82b44ba2,ntoskrnl,NtQueryInformationEnlistment
0,231,0x82aa86d5,ntoskrnl,NtQueryInformationFile
0,232,0x82adf0ff,ntoskrnl,NtQueryInformationJobObject
0,233,0x82b1c7d4,ntoskrnl,NtQueryInformationPort
0,234,0x82a89644,ntoskrnl,NtQueryInformationProcess
0,235,0x82b465fe,ntoskrnl,NtQueryInformationResourceManager
0,236,0x82aafd6d,ntoskrnl,NtQueryInformationThread
0,237,0x82aa506e,ntoskrnl,NtQueryInformationToken
0,238,0x82b458e4,ntoskrnl,NtQueryInformationTransaction
0,239,0x829cfbcf,ntoskrnl,NtQueryInformationTransactionManager
0,240,0x82966e81,ntoskrnl,NtQueryInformationWorkerFactory
0,241,0x82a31c3f,ntoskrnl,NtQueryInstallUILanguage
0,242,0x82b5de6b,ntoskrnl,NtQueryIntervalProfile
0,243,0x82b09d68,ntoskrnl,NtQueryIoCompletion
0,244,0x82a9ecae,ntoskrnl,NtQueryKey
0,245,0x82a54e8d,ntoskrnl,NtQueryLicenseValue
0,246,0x82a33cc0,ntoskrnl,NtQueryMultipleValueKey
0,247,0x82b5d57c,ntoskrnl,NtQueryMutant
0,248,0x82a53ed6,ntoskrnl,NtQueryObject
0,249,0x82aeeb05,ntoskrnl,NtQueryOpenSubKeys
0,250,0x82adcdf8,ntoskrnl,NtQueryOpenSubKeysEx
0,251,0x82a63277,ntoskrnl,NtQueryPerformanceCounter
0,252,0x82b2f2c4,ntoskrnl,NtQueryPortInformationProcess
0,253,0x82b0b349,ntoskrnl,NtQueryQuotaInformationFile
0,254,0x82ac99e6,ntoskrnl,NtQuerySection
0,255,0x82a492d0,ntoskrnl,NtQuerySecurityAttributesToken
0,256,0x82a4ce4c,ntoskrnl,NtQuerySecurityObject
0,257,0x82b563fc,ntoskrnl,NtQuerySemaphore
0,258,0x82aa0c15,ntoskrnl,NtQuerySymbolicLinkObject
0,259,0x82b565d3,ntoskrnl,NtQuerySystemEnvironmentValue
0,260,0x82b56bc7,ntoskrnl,NtQuerySystemEnvironmentValueEx
0,261,0x82a82cd4,ntoskrnl,NtQuerySystemInformation
0,262,0x82abbddd,ntoskrnl,NtQuerySystemInformationEx
0,263,0x82ac9af7,ntoskrnl,NtQuerySystemTime
0,264,0x82b5cece,ntoskrnl,NtQueryTimer
0,265,0x82a3f729,ntoskrnl,NtQueryTimerResolution
0,266,0x82a9d405,ntoskrnl,NtQueryValueKey
0,267,0x82aae6a7,ntoskrnl,NtQueryVirtualMemory
0,268,0x82aa92c8,ntoskrnl,NtQueryVolumeInformationFile
0,269,0x82a4ecaa,ntoskrnl,NtQueueApcThread
0,270,0x82a4ae67,ntoskrnl,NtQueueApcThreadEx
0,271,0x82892d54,ntoskrnl,NtRaiseException
0,272,0x82a2a0a3,ntoskrnl,NtRaiseHardError
0,273,0x82ab4c8c,ntoskrnl,NtReadFile
0,274,0x829ea6a7,ntoskrnl,NtReadFileScatter
0,275,0x82b45580,ntoskrnl,NtReadOnlyEnlistment
