TreeDepth,Offset,Base,Size,Name,Path,Fileoutput
0,0x8243e470,0x9518e000,0x7000,HIDPARSE.SYS,\\SystemRoot\\system32\\DRIVERS\\HIDPARSE.SYS,Disabled
0,0x82441130,0x95195000,0xb000,mouhid.sys,\\SystemRoot\\system32\\DRIVERS\\mouhid.sys,Disabled
0,0x82443530,0x951a0000,0x8000,vmusbmouse.sys,\\SystemRoot\\system32\\DRIVERS\\vmusbmouse.sys,Disabled
0,0x8245b3b8,0x951a8000,0x1b000,luafv.sys,\\SystemRoot\\system32\\drivers\\luafv.sys,Disabled
0,0x824f33a0,0x951c3000,0x10000,lltdio.sys,\\SystemRoot\\system32\\DRIVERS\\lltdio.sys,Disabled
0,0x824f5f88,0x951d3000,0x13000,rspndr.sys,\\SystemRoot\\system32\\DRIVERS\\rspndr.sys,Disabled
0,0x8240bbb0,0x93231000,0x85000,HTTP.sys,\\SystemRoot\\system32\\drivers\\HTTP.sys,Disabled
0,0x825b7c38,0x93378000,0x19000,bowser.sys,\\SystemRoot\\system32\\DRIVERS\\bowser.sys,Disabled
0,0x825b9800,0x93391000,0x12000,mpsdrv.sys,\\SystemRoot\\System32\\drivers\\mpsdrv.sys,Disabled
0,0x863f3af8,0x933a3000,0x23000,mrxsmb.sys,\\SystemRoot\\system32\\DRIVERS\\mrxsmb.sys,Disabled
0,0x863f44f0,0x87261000,0x3b000,mrxsmb10.sys,\\SystemRoot\\system32\\DRIVERS\\mrxsmb10.sys,Disabled
0,0x863f45f0,0x933c6000,0x1b000,mrxsmb20.sys,\\SystemRoot\\system32\\DRIVERS\\mrxsmb20.sys,Disabled
0,0x86423448,0x93200000,0x8000,vmmemctl.sys,\\SystemRoot\\system32\\DRIVERS\\vmmemctl.sys,Disabled
0,0x864298e0,0x9f60d000,0x97000,peauth.sys,\\SystemRoot\\system32\\drivers\\peauth.sys,Disabled
0,0x86428578,0x9f6a4000,0xa000,secdrv.SYS,\\SystemRoot\\System32\\Drivers\\secdrv.SYS,Disabled
0,0x86428350,0x9f6ae000,0x21000,srvnet.sys,\\SystemRoot\\System32\\DRIVERS\\srvnet.sys,Disabled
0,0x86432660,0x9f6cf000,0xd000,tcpipreg.sys,\\SystemRoot\\System32\\drivers\\tcpipreg.sys,Disabled
0,0x8647d9e8,0x9f6dc000,0x4f000,srv2.sys,\\SystemRoot\\System32\\DRIVERS\\srv2.sys,Disabled
0,0x86481788,0x9f72b000,0x51000,srv.sys,\\SystemRoot\\System32\\DRIVERS\\srv.sys,Disabled
0,0x864954a0,0x9f77c000,0x21000,vmhgfs.sys,\\SystemRoot\\system32\\DRIVERS\\vmhgfs.sys,Disabled
0,0x863beb38,0x9f79d000,0xb000,monitor.sys,\\SystemRoot\\system32\\DRIVERS\\monitor.sys,Disabled
0,0x868b2bb8,0x8ce1b000,0x6a000,spsys.sys,\\SystemRoot\\system32\\drivers\\spsys.sys,Disabled
0,0x82596418,0x8ce85000,0x12000,BTHUSB.sys,\\SystemRoot\\System32\\Drivers\\BTHUSB.sys,Disabled
0,0x866f5548,0x8ce97000,0x64000,bthport.sys,\\SystemRoot\\System32\\Drivers\\bthport.sys,Disabled
0,0x8672d658,0x8cefb000,0x24000,rfcomm.sys,\\SystemRoot\\system32\\DRIVERS\\rfcomm.sys,Disabled
0,0x866122a8,0x8cf1f000,0xd000,BthEnum.sys,\\SystemRoot\\system32\\DRIVERS\\BthEnum.sys,Disabled
0,0x866cff88,0x8cf2c000,0x1b000,bthpan.sys,\\SystemRoot\\system32\\DRIVERS\\bthpan.sys,Disabled

