TreeDepth,Allocation,Tag,PoolType,NumberOfBytes,Status
0,0x9468e000,CM31,PagedPoolCacheAligned,0x2000,Allocated
0,0x94914000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94a8d000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94d15000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9cd35000,MmRe,PagedPool,0x2038,Allocated
0,0x87cf8000,ArbA,PagedPool,0x1000,Allocated
0,0x850f3000,Cont,NonPagedPool,0x1000,Allocated
0,0x8a766000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x85cf0000,Cont,NonPagedPool,0x1000,Allocated
0,0xa16e5000,CMA,PagedPool,0x1000,Allocated
0,0x91394000,CM25,PagedPool,0x1000,Allocated
0,0x92b9a000,CM25,PagedPool,0x1000,Allocated
0,0x92f9b000,CM25,PagedPool,0x1000,Allocated
0,0x9379d000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93f9f000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94380000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94781000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94b82000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x96789000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x8d1ec000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x88c63000,ArbA,PagedPool,0x1000,Allocated
0,0x85c57000,Cont,NonPagedPool,0x1000,Allocated
0,0x86058000,Cont,NonPagedPool,0x1000,Allocated
0,0x8d074000,CMA,PagedPool,0x1000,Allocated
0,0xa163c000,CMA,PagedPool,0x1000,Allocated
0,0x92c8a000,CM25,PagedPool,0x1000,Allocated
0,0x9308d000,CM25,PagedPool,0x1000,Allocated
0,0x9288b000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93c8e000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94490000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94c92000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x96498000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x85edd000,Cont,NonPagedPool,0x1000,Allocated
0,0x862d2000,Cont,NonPagedPool,0xa000,Allocated
0,0x84121000,Mm,NonPagedPool,0x8000,Allocated
0,0x8a6e3000,CMA,PagedPool,0x1000,Allocated
0,0x82538000,InF2,NonPagedPool,0x1000,Allocated
0,0x88913000,MmSt,Unknown choice 2147483649,0x1000,Allocated
0,0x92d79000,CM25,PagedPool,0x1000,Allocated
0,0x9317e000,CM25,PagedPool,0x1000,Allocated
0,0x92978000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93d7d000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94563000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94960000,CM31,PagedPoolCacheAligned,0x2000,Allocated
0,0x94d61000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9cd41000,Obtb,PagedPool,0x1000,Allocated
0,0x853af000,InPa,NonPagedPool,0x2010,Allocated
0,0x85fac000,Cont,NonPagedPool,0x1000,Allocated
0,0x8a60a000,MmRe,PagedPool,0x1b50,Allocated
0,0x913f8000,CM25,PagedPool,0x1000,Allocated
0,0x92bf6000,CM25,PagedPool,0x1000,Allocated
0,0x92ff7000,CM25,PagedPool,0x1000,Allocated
0,0x937f1000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x91260000,CM25,PagedPool,0x1000,Allocated
0,0x92a6e000,CM25,PagedPool,0x4000,Allocated
0,0x92e6f000,CM25,PagedPool,0x1000,Allocated
0,0x93669000,CM25,PagedPool,0x1000,Allocated
0,0x93e6b000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93ff3000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94274000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x943ec000,CM31,PagedPoolCacheAligned,0x3000,Allocated
0,0x94675000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x947ed000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94a76000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94bee000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x967e5000,CM31,PagedPoolCacheAligned,0x3000,Allocated
0,0x88c8f000,ArbA,PagedPool,0x1000,Allocated
0,0x850b8000,Cont,NonPagedPool,0x1000,Allocated
0,0x85cbb000,Cont,NonPagedPool,0x1000,Allocated
0,0x860b4000,Cont,NonPagedPool,0x1000,Allocated
0,0x85f03000,Cont,NonPagedPool,0x1000,Allocated
0,0x8a73d000,MmRe,PagedPool,0x28c8,Allocated
0,0xa16a0000,CMA,PagedPool,0x1000,Allocated
0,0x92ce6000,CM25,PagedPool,0x1000,Allocated
0,0x930e1000,CM25,PagedPool,0x1000,Allocated
0,0x928e7000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93ce2000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x91351000,CM25,PagedPool,0x1000,Allocated
0,0x92b5f000,CM25,PagedPool,0x1000,Allocated
0,0x92f5e000,CM25,PagedPool,0x1000,Allocated
0,0x93758000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x93f5a000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x944fc000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94744000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x948ff000,CM31,PagedPoolCacheAligned,0x1000,Allocated
