TreeDepth,Allocation,Tag,PoolType,NumberOfBytes,Status
0,0x94ad4000,CM31,PagedPoolCacheAligned,0x2000,Allocated
0,0x94d3e000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x96937000,CMA,PagedPool,0x1000,Allocated
0,0x84f65000,Cont,NonPagedPool,0x1000,Allocated
0,0x85362000,NtFs,NonPagedPool,0x10000,Allocated
0,0x8636e000,VM3D,NonPagedPool,0x10000,Allocated
0,0x8a75f000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x913b3000,CM25,PagedPool,0x1000,Allocated
0,0x92bbd000,CM25,PagedPool,0x1000,Allocated
0,0x92fbc000,CM25,PagedPool,0x1000,Allocated
0,0x937ba000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9121b000,CM25,PagedPool,0x1000,Allocated
0,0x92a15000,CM25,PagedPool,0x1000,Allocated
0,0x92e14000,CM25,PagedPool,0x1000,Allocated
0,0x93612000,CM25,PagedPool,0x1000,Allocated
0,0x93e10000,CM31,PagedPoolCacheAligned,0x2000,Allocated
0,0x93fb8000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x9420f000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x943a7000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x947a6000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94a0d000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x94ba5000,CM31,PagedPoolCacheAligned,0x1000,Allocated
0,0x96606000,CM31,PagedPoolCacheAligned,0x1000,Allocated
