TreeDepth,Offset,RecordType,RecordNumber,LinkCount,MFTType,Permissions,AttributeType,Created,Modified,Updated,Accessed,Filename
0,0x88663c50,FILE,26255,3,File,N/A,STANDARD_INFORMATION,2010-11-21 00:38:27.000000 ,2010-11-21 00:38:27.000000 ,2023-04-25 01:34:02.000000 ,2010-11-21 00:38:27.000000 ,N/A
1,0x88663cb0,FILE,26255,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,BITSAD~1.MUI
1,0x88663d28,FILE,26255,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,bitsadmin.exe.mui
1,0x88663da8,FILE,26255,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,bitsadmin.exe.mui
0,0x8866b050,FILE,26284,3,File,N/A,STANDARD_INFORMATION,2010-11-21 00:38:27.000000 ,2010-11-21 00:38:27.000000 ,2023-04-25 01:34:02.000000 ,2010-11-21 00:38:28.000000 ,N/A
1,0x8866b0b0,FILE,26284,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,cacls.exe.mui
1,0x8866b128,FILE,26284,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,CACLSE~1.MUI
1,0x8866b1a0,FILE,26284,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,cacls.exe.mui
0,0x8866b450,FILE,26285,3,File,N/A,STANDARD_INFORMATION,2010-11-21 00:38:31.000000 ,2010-11-21 00:38:31.000000 ,2023-04-25 01:34:02.000000 ,2010-11-21 00:38:31.000000 ,N/A
1,0x8866b4b0,FILE,26285,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,calc.exe.mui
1,0x8866b528,FILE,26285,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,CALCEX~1.MUI
1,0x8866b5a0,FILE,26285,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,calc.exe.mui
0,0x8866b850,FILE,26286,3,File,N/A,STANDARD_INFORMATION,2010-11-21 00:38:27.000000 ,2010-11-21 00:38:27.000000 ,2023-04-25 01:34:02.000000 ,2010-11-21 00:38:27.000000 ,N/A
1,0x8866b8b0,FILE,26286,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,CAPIPR~1.MUI
1,0x8866b928,FILE,26286,3,File,Archive,FILE_NAME,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,2023-04-25 01:34:02.000000 ,capiprovider.dll.mui
