TreeDepth,Offset,RecordType,RecordNumber,LinkCount,MFTType,Permissions,AttributeType,Created,Modified,Updated,Accessed,Filename
1,0x8a4108b0,FILE,42306,2,DirInUse,0x0,FILE_NAME,2023-04-25 00:35:24.000000 ,2023-04-25 00:35:24.000000 ,2023-04-25 00:35:24.000000 ,2023-04-25 00:35:24.000000 ,UNATTE~1
1,0x8a410920,FILE,42306,2,DirInUse,0x0,FILE_NAME,2023-04-25 00:35:24.000000 ,2023-04-25 00:35:24.000000 ,2023-04-25 00:35:24.000000 ,2023-04-25 00:35:24.000000 ,UnattendGC
0,0x8a410c50,FILE,42307,1,File,N/A,STANDARD_INFORMATION,2023-04-25 00:35:24.000000 ,2023-04-24 14:38:36.000000 ,2023-04-24 14:38:36.000000 ,2023-04-25 00:35:24.000000 ,N/A
1,0x8a410cb0,FILE,42307,1,File,Archive,FILE_NAME,2023-04-25 00:35:24.000000 ,2023-04-25 00:35:24.000000 ,2023-04-25 00:35:24.000000 ,2023-04-25 00:35:24.000000 ,setupact.log
0,0x8a412050,FILE,42312,1,0x5,N/A,STANDARD_INFORMATION,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,N/A
1,0x8a4120b0,FILE,42312,1,0x5,ArchiveHiddenSystem,FILE_NAME,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,$UsnJrnl
0,0x8a412450,FILE,42313,2,File,N/A,STANDARD_INFORMATION,2023-04-25 00:35:32.000000 ,2023-04-24 14:41:38.000000 ,2023-04-24 14:41:38.000000 ,2023-04-25 00:35:32.000000 ,N/A
1,0x8a4124b0,FILE,42313,2,File,Archive,FILE_NAME,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,System.evtx
1,0x8a412520,FILE,42313,2,File,Archive,FILE_NAME,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,SYSTEM~1.EVT
0,0x8a412850,FILE,42314,2,File,N/A,STANDARD_INFORMATION,2023-04-25 00:35:32.000000 ,2023-04-24 14:41:38.000000 ,2023-04-24 14:41:38.000000 ,2023-04-25 00:35:32.000000 ,N/A
1,0x8a4128b0,FILE,42314,2,File,Archive,FILE_NAME,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,APPLIC~1.EVT
1,0x8a412928,FILE,42314,2,File,Archive,FILE_NAME,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,Application.evtx
0,0x8a412c50,FILE,42315,2,File,N/A,STANDARD_INFORMATION,2023-04-25 00:35:32.000000 ,2023-04-24 14:41:38.000000 ,2023-04-24 14:41:38.000000 ,2023-04-25 00:35:32.000000 ,N/A
1,0x8a412cb0,FILE,42315,2,File,Archive,FILE_NAME,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,SECURI~1.EVT
1,0x8a412d28,FILE,42315,2,File,Archive,FILE_NAME,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,Security.evtx
0,0x8a414050,FILE,42320,2,File,N/A,STANDARD_INFORMATION,2023-04-25 00:35:32.000000 ,2023-04-25 00:37:45.000000 ,2023-04-25 00:37:45.000000 ,2023-04-25 00:35:32.000000 ,N/A
1,0x8a4140b0,FILE,42320,2,File,Archive,FILE_NAME,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,2023-04-25 00:35:32.000000 ,HARDWA~1.EVT
