TreeDepth,Offset,Name,Size
0,0x461d430,\\Windows\\System32\\svchost.exe,128
0,0x469c038,\\Windows\\System32\\en-US\\VSSVC.exe.mui,128
0,0x469c338,\\Windows\\System32\\wbengine.exe,128
0,0x469c618,\\Windows\\System32\\en-US\\w32time.dll.mui,128
0,0x469ca40,\\Windows\\System32\\drivers\\vwifibus.sys,128
0,0x469cc50,\\Windows\\System32\\drivers\\en-US\\vwifibus.sys.mui,128
0,0x469cec8,\\Windows\\System32\\en-US\\ui0detect.exe.mui,128
0,0x469cf80,\\Windows\\System32\\UI0Detect.exe,128
0,0x46b16f8,\\Windows\\System32\\drivers\\mpsdrv.sys,128
0,0x46b1df8,\\Windows\\Prefetch\\SPPSVC.EXE-CBE91656.pf,128
0,0x47dd428,\\Program Files\\VMware\\VMware Tools\\VMware VGAuth\\VGAuthService.exe,128
0,0x47dd4e0,\\Windows\\System32\\vds.exe,128
0,0x47dd660,\\Windows\\System32\\drivers\\volmgrx.sys,128
0,0x47dd848,\\Windows\\System32\\en-US\\vaultsvc.dll.mui,128
0,0x47ddba0,\\Windows\\System32\\en-US\\upnphost.dll.mui,128
0,0x47ddd70,\\Windows\\System32\\vaultsvc.dll,128
0,0x47dde28,\\Windows\\System32\\upnphost.dll,128
0,0x4939270,\\Windows\\System32\\DriverStore\\FileRepository\\oemprint.inf_x86_neutral_fdc3eb6dfd46a532\\i386\\TPPrnUIita.dll,128
0,0x4939648,\\Users\\Hoxed\\Favorites\\Microsoft Websites\\Microsoft Store.url,128
0,0x4939998,\\Endpoint,128
0,0x4939b48,\\$Directory,128
0,0x4939ca0,\\Windows\\assembly\\NativeImages_v2.0.50727_32\\System.EnterpriseSe#\\887ef2648686aad19feff405eddbffd2\\System.EnterpriseServices.ni.dll,128
0,0x4957578,\\Windows\\System32\\mssitlb.dll,128
0,0x4957970,\\Windows\\System32\\drivers\\en-US\\volmgrx.sys.mui,128
0,0x4957e00,\\Windows\\System32\\VSSVC.exe,128
0,0x4957f80,\\Windows\\System32\\en-US\\vds.exe.mui,128
0,0x497a038,\\Windows\\Tasks\\SA.DAT,128
0,0x497a360,\\Windows\\Tasks,128
0,0x497a418,\\atsvc,128
0,0x4997300,\\Windows\\System32\\drivers\\mouhid.sys,128
0,0x4997f80,\\Windows\\System32\\tbssvc.dll,128
0,0x49df2d8,\\Windows\\System32\\wersvc.dll,128
0,0x49df420,\\Windows\\System32\\en-US\\winhttp.dll.mui,128
0,0x49df710,\\Windows\\System32\\en-US\\wercplsupport.dll.mui,128
0,0x49df7c8,\\Windows\\System32\\wecsvc.dll,128
0,0x49df8a8,\\Windows\\System32\\wercplsupport.dll,128
0,0x49dfaa8,\\Windows\\System32\\en-US\\wecsvc.dll.mui,128
0,0x4a6c7f0,\\Users\\Hoxed\\ntuser.dat.LOG2,128
0,0x4acd1f0,\\Windows\\System32\\mlang.dll,128
0,0x4acdd40,\\Users\\Hoxed\\AppData\\Local\\Microsoft\\Windows\\Explorer\\thumbcache_sr.db,128
0,0x4b144c0,\\Windows\\System32\\dps.dll,128
0,0x4b146d0,\\Windows\\System32\\en-US\\dps.dll.mui,128
0,0x4b14a68,\\Windows\\System32\\dot3svc.dll,128
0,0x4b14b20,\\Windows\\System32\\en-US\\dnsapi.dll.mui,128
0,0x4b14d48,\\Windows\\System32\\en-US\\dot3svc.dll.mui,128
0,0x4c0c5d0,\\Windows\\System32\\tcpbidi.xml,128
0,0x4c1c038,\\$Directory,128
0,0x4c1c1b8,\\Windows\\System32\\IPBusEnum.dll,128
0,0x4c1c480,\\Windows\\System32\\en-US\\ikeext.dll.mui,128
0,0x4c1c6f8,\\Windows\\Microsoft.NET\\Framework\\v3.0\\Windows Communication Foundation\\en-US\\ServiceModelInstallRC.dll.mui,128
0,0x4c1cad8,\\$Directory,128
0,0x4c41318,\\Windows\\winsxs\\Manifests\\x86_microsoft.windows.isolationautomation_6595b64144ccf1df_1.0.0.0_none_35d357a66c38ade4.manifest,128
0,0x4c41948,\\Windows\\System32\\cryptbase.dll,128
0,0x4c41e10,\\Windows\\System32\\WcsPlugInService.dll,128
0,0x4c41ef0,\\$Directory,128
0,0x4c571e0,\\Windows\\System32\\en-US\\regsvc.dll.mui,128
0,0x4c57460,\\Windows\\System32\\sstpsvc.dll,128
0,0x4c578a0,\\Windows\\System32\\rasmans.dll,128
0,0x4c57a10,\\Windows\\System32\\en-US\\mprdim.dll.mui,128
0,0x4c57c50,\\Windows\\System32\\en-US\\rasmans.dll.mui,128
0,0x4c57f80,\\Windows\\System32\\drivers\\qwavedrv.sys,128
0,0x4cdb210,\\Windows\\System32\\en-US\\iscsidsc.dll.mui,128
0,0x4cdb4e0,\\Windows\\System32\\iscsidsc.dll,128
0,0x4cdb7e0,\\Windows\\System32\\en-US\\webclnt.dll.mui,128
0,0x4cdbab0,\\Windows\\System32\\WebClnt.dll,128
0,0x4cdbe68,\\Windows\\System32\\en-US\\FirewallAPI.dll.mui,128
0,0x4d9f390,\\Windows\\System32\\drivers\\partmgr.sys,128
0,0x4d9f6d0,\\Windows\\System32\\drivers\\en-US\\partmgr.sys.mui,128
0,0x4d9f7f0,\\Windows\\System32\\p2psvc.dll,128
0,0x4d9fb88,\\Windows\\System32\\pnrpsvc.dll,128
0,0x4d9fd08,\\Windows\\System32\\en-US\\p2psvc.dll.mui,128
0,0x4d9fe50,\\Windows\\System32\\pla.dll,128
0,0x4db9038,\\$Directory,128
0,0x4db98d0,\\$Directory,128
0,0x4db9a18,\\Windows\\System32\\Speech\\SpeechUX\\en-us\\sapi.cpl.mui,128
0,0x4db9bc8,\\Windows\\System32\\Speech\\SpeechUX\\sapi.cpl,128
0,0x4e16600,\\Windows\\System32\\en-US\\gpapi.dll.mui,128
0,0x4e169a8,\\Windows\\System32\\en-US\\wcncsvc.dll.mui,128
0,0x4e16af8,\\Windows\\System32\\drivers\\fsdepends.sys,128
0,0x4e16ba0,\\Windows\\rescache\\rc0002\\Segment1.cmf,128
0,0x4f06038,\\Windows\\System32\\en-US\\alg.exe.mui,128
