TreeDepth,Offset,Base,Size,Name,Path,Fileoutput
0,0x3dfb31d0,0x960e0000,0x9000,TSDDD.dll,\\SystemRoot\\System32\\TSDDD.dll,Disabled
0,0x3e2098d8,0x95020000,0x44000,usbhub.sys,\\SystemRoot\\system32\\DRIVERS\\usbhub.sys,Disabled
0,0x3e3969a0,0x950f4000,0x19000,drmk.sys,\\SystemRoot\\system32\\drivers\\drmk.sys,Disabled
0,0x3e396b20,0x950c5000,0x2f000,portcls.sys,\\SystemRoot\\system32\\drivers\\portcls.sys,Disabled
0,0x3e4592f0,0x9398b000,0x17000,raspptp.sys,\\SystemRoot\\system32\\DRIVERS\\raspptp.sys,Disabled
0,0x3e7ab3e8,0x95157000,0x17000,usbccgp.sys,\\SystemRoot\\system32\\DRIVERS\\usbccgp.sys,Disabled
0,0x3e7cd108,0x95124000,0x18000,dump_LSI_SAS.sys,\\SystemRoot\\System32\\Drivers\\dump_LSI_SAS.sys,Disabled
0,0x3e7cd9e8,0x9510d000,0xd000,crashdmp.sys,\\SystemRoot\\System32\\Drivers\\crashdmp.sys,Disabled
0,0x3e803740,0x9380a000,0x13000,wanarp.sys,\\SystemRoot\\system32\\DRIVERS\\wanarp.sys,Disabled
0,0x3e8241f0,0x8c7db000,0x18000,rasl2tp.sys,\\SystemRoot\\system32\\DRIVERS\\rasl2tp.sys,Disabled
0,0x3e832c80,0x93903000,0xd000,mouclass.sys,\\SystemRoot\\system32\\DRIVERS\\mouclass.sys,Disabled
0,0x3e837ee0,0x8c7fe000,0x2000,swenum.sys,\\SystemRoot\\system32\\DRIVERS\\swenum.sys,Disabled
0,0x3e8426a0,0x9514d000,0xa000,Dxapi.sys,\\SystemRoot\\System32\\drivers\\Dxapi.sys,Disabled
0,0x3e85c0b0,0x93951000,0x22000,ndiswan.sys,\\SystemRoot\\system32\\DRIVERS\\ndiswan.sys,Disabled
0,0x3e912008,0x8735d000,0xc000,TDI.SYS,\\SystemRoot\\system32\\DRIVERS\\TDI.SYS,Disabled
0,0x3e912400,0x873c3000,0x32000,netbt.sys,\\SystemRoot\\System32\\DRIVERS\\netbt.sys,Disabled
0,0x3e912660,0x87369000,0x5a000,afd.sys,\\SystemRoot\\system32\\drivers\\afd.sys,Disabled
0,0x3e914100,0x87200000,0x7000,wfplwf.sys,\\SystemRoot\\system32\\DRIVERS\\wfplwf.sys,Disabled
0,0x3e914960,0x82e13000,0x1a000,serial.sys,\\SystemRoot\\system32\\DRIVERS\\serial.sys,Disabled
0,0x3e914be0,0x86bf0000,0xe000,netbios.sys,\\SystemRoot\\system32\\DRIVERS\\netbios.sys,Disabled
0,0x3e9174e0,0x87338000,0xe000,Npfs.SYS,\\SystemRoot\\System32\\Drivers\\Npfs.SYS,Disabled
0,0x3e9287d8,0x87346000,0x17000,tdx.sys,\\SystemRoot\\system32\\DRIVERS\\tdx.sys,Disabled
0,0x3e961578,0x9386f000,0xa000,nsiproxy.sys,\\SystemRoot\\system32\\drivers\\nsiproxy.sys,Disabled
