TreeDepth,Tag,Offset,Layer,Name
0,symbol_table_name1!_FILE_OBJECT,0x3ebd74d0,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-RDC-Package~31bf3856ad364e35~x86~en-US~6.1.7600.16385.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebd75f8,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-SecureStartup-Basic-Package~31bf3856ad364e35~x86~en-US~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebd7730,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-RDC-Package~31bf3856ad364e35~x86~en-US~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebd7908,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-RasRip-Package~31bf3856ad364e35~x86~~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebd7a20,memory_layer,\\Users\\Hoxed\\Favorites\\MSN Websites\\MSN Money.url
0,symbol_table_name1!_FILE_OBJECT,0x3ebd7f58,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-RasRip-Package~31bf3856ad364e35~x86~en-US~6.1.7601.17514.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebd80f8,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-RemoteAssistance-Package-Client~31bf3856ad364e35~x86~~6.1.7600.16385.cat
0,symbol_table_name1!_FILE_OBJECT,0x3ebd8230,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-RemoteFX-RemoteClient-Setup-LanguagePack~31bf3856ad364e35~x86~en-US~6.1.7601.17514.cat
0,symbol_table_name1!_KMUTANT,0x3ebd8440,memory_layer,N/A
0,symbol_table_name1!_FILE_OBJECT,0x3ebd8708,memory_layer,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-RemoteAssistance-Package-Client~31bf3856ad364e35~x86~en-US~6.1.7600.16385.cat
