TreeDepth,PID,PPID,ImageFileName,OffsetV,Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Fileoutput
TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,692,476,vmacthlp.exe,0x82468030,3,53,0,False,2023-04-24 14:41:38.000000 ,N/A,Disabled
0,1300,860,dwm.exe,0x859c2030,3,68,1,False,2023-04-24 14:41:39.000000 ,N/A,Disabled
0,1348,476,spoolsv.exe,0x8258e030,12,321,0,False,2023-04-24 14:41:39.000000 ,N/A,Disabled
0,1556,1312,vmtoolsd.exe,0x863fdb90,6,218,1,False,2023-04-24 14:41:39.000000 ,N/A,Disabled
0,1672,476,VGAuthService.,0x8644f1c8,3,87,0,False,2023-04-24 14:41:40.000000 ,N/A,Disabled
0,1756,476,vmtoolsd.exe,0x86462c88,9,293,0,False,2023-04-24 14:41:40.000000 ,N/A,Disabled
0,1072,628,WmiPrvSE.exe,0x865a89f0,9,197,0,False,2023-04-24 14:41:41.000000 ,N/A,Disabled
0,1332,476,dllhost.exe,0x86579a40,13,194,0,False,2023-04-24 14:41:41.000000 ,N/A,Disabled
0,1268,476,msdtc.exe,0x86458550,12,145,0,False,2023-04-24 14:41:43.000000 ,N/A,Disabled
0,2128,476,SearchIndexer.,0x86675228,13,639,0,False,2023-04-24 14:41:45.000000 ,N/A,Disabled
0,2316,476,wmpnetwk.exe,0x866214a0,9,212,0,False,2023-04-24 14:41:46.000000 ,N/A,Disabled
0,3448,476,sppsvc.exe,0x865f68e0,4,146,0,False,2023-04-24 14:43:40.000000 ,N/A,Disabled
0,2956,1312,notepad.exe,0x825af750,5,247,1,False,2023-04-24 14:48:50.000000 ,N/A,Disabled
0,3164,776,audiodg.exe,0x8251ba40,6,136,0,False,2023-04-24 14:49:15.000000 ,N/A,Disabled
0,2300,628,WmiPrvSE.exe,0x8687eaf8,7,116,0,False,2023-04-24 14:49:40.000000 ,N/A,Disabled
0,3704,1312,notepad.exe,0x82558d40,1,62,1,False,2023-04-24 14:58:43.000000 ,N/A,Disabled
0,3840,1312,notepad.exe,0x82501030,1,62,1,False,2023-04-24 14:59:24.000000 ,N/A,Disabled
0,3940,1756,cmd.exe,0x84290030,0,-,0,False,2023-04-24 14:59:30.000000 ,2023-04-24 14:59:30.000000 ,Disabled
0,3980,352,conhost.exe,0x84303920,0,-,0,False,2023-04-24 14:59:30.000000 ,2023-04-24 14:59:30.000000 ,Disabled
0,3960,3940,ipconfig.exe,0x842d62e8,0,-,0,False,2023-04-24 14:59:30.000000 ,2023-04-24 14:59:30.000000 ,Disabled

