File,Result
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423398.0x82424ef0.ImageSectionObject.FirewallAPI.dll-5.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423398.0x82424ef0.ImageSectionObject.FirewallAPI.dll-6.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423398.0x82424ef0.ImageSectionObject.FirewallAPI.dll-7.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423398.0x82424ef0.ImageSectionObject.FirewallAPI.dll-8.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423398.0x82424ef0.ImageSectionObject.FirewallAPI.dll.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423398.0x825da3a8.DataSectionObject.FirewallAPI.dll-1.dat","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423398.0x825da3a8.DataSectionObject.FirewallAPI.dll-2.dat","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423398.0x825da3a8.DataSectionObject.FirewallAPI.dll-3.dat","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423398.0x825da3a8.DataSectionObject.FirewallAPI.dll-4.dat","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423398.0x825da3a8.DataSectionObject.FirewallAPI.dll-5.dat","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423398.0x825da3a8.DataSectionObject.FirewallAPI.dll-6.dat","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423398.0x825da3a8.DataSectionObject.FirewallAPI.dll-7.dat","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423398.0x825da3a8.DataSectionObject.FirewallAPI.dll-8.dat","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423398.0x825da3a8.DataSectionObject.FirewallAPI.dll.dat","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423740.0x82463408.ImageSectionObject.powrprof.dll-1.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423740.0x82463408.ImageSectionObject.powrprof.dll-2.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423740.0x82463408.ImageSectionObject.powrprof.dll-3.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423740.0x82463408.ImageSectionObject.powrprof.dll-4.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423740.0x82463408.ImageSectionObject.powrprof.dll-5.img","OK"
"/mnt/memorydumps/output/win_CompromisedSystemMem/dumpfiles/file.0x82423740.0x82463408.ImageSectionObject.powrprof.dll.img","OK"
